"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://teksea.net/","1","TekSea — Soluções inteligentes em energia","41","390","Indexable",""
"https://teksea.net/mercados-que-atendemos/hidroeletrica/","1","Arquivo de Hidroelétrica — TekSea","33","308","Indexable",""
"https://teksea.net/produto/tekpower-scr/","1","SCR – Retificador / Carregador Tiristorizado — TekSea","53","485","Indexable",""
"https://teksea.net/produtos/","1","Produtos — TekSea","17","174","Indexable",""
"https://teksea.net/subcategoria/tiristorizados-scr/","1","Arquivo de Tiristorizados SCR — TekSea","38","357","Indexable",""
"https://teksea.net/eventos/flibs-fort-lauderdale-international-boat-show/","1","FLIBS Fort Lauderdale International Boat Show — TekSea","54","508","Indexable",""
"https://teksea.net/eventos/international-workboat-show/","1","International WorkBoat Show — TekSea","36","352","Indexable",""
"https://teksea.net/mercados-que-atendemos/telecomunicacoes/","1","Arquivo de Telecomunicações — TekSea","36","361","Indexable",""
"https://teksea.net/mercados-que-atendemos/petroleo-gas/","1","Arquivo de Petróleo & Gás — TekSea","34","326","Indexable",""
"https://teksea.net/subcategoria/gateways-proprietarios-multiprotocolos/","1","Arquivo de Gateways Proprietários – Multiprotocolos — TekSea","60","564","Indexable",""
"https://teksea.net/segmento/bombas-e-fluxometros/","1","Arquivo de Bombas e Fluxômetros — TekSea","40","399","Indexable",""
"https://teksea.net/subcategoria/parafuso-triplo/","1","Arquivo de Parafuso triplo — TekSea","35","325","Indexable",""
"https://teksea.net/subcategoria/ups-nobreak/","1","Arquivo de UPS (Nobreak) — TekSea","33","325","Indexable",""
"https://teksea.net/subcategoria/radio-telecom/","1","Arquivo de Rádio & Telecom — TekSea","35","343","Indexable",""
"https://teksea.net/eventos/nt-expo-negocios-nos-trilhos/","1","NT Expo – Negócios nos Trilhos — TekSea","39","376","Indexable",""
"https://teksea.net/produto/consoles-e-mesas-de-controle/","1","Consoles e mesas de controle — TekSea","37","361","Indexable",""
"https://teksea.net/produto/industria-paineis-de-distribuicao-eletrica/","1","Indústria | Painéis de Distribuição Elétrica — TekSea","53","462","Indexable",""
"https://teksea.net/subcategoria/baterias/","1","Arquivo de Baterias — TekSea","28","267","Indexable",""
"https://teksea.net/mercados-que-atendemos/saneamento/","1","Arquivo de Saneamento — TekSea","30","307","Indexable",""
"https://teksea.net/produto/iot-internet-of-things-skytek/","1","IoT | Internet of Things – Skytek — TekSea","42","376","Indexable",""
"https://teksea.net/produto/retificador-carregador-chaveado-tps125/","1","Retificador / Carregador Chaveado TPS 125 — TekSea","50","482","Indexable",""
"https://teksea.net/produto/gradil-tekbox-heavy-duty/","1","Gradil TekBox Heavy-Duty — TekSea","33","323","Indexable",""
"https://teksea.net/teksea-e-recertificada-na-iso-90012015-consolidando-seu-padrao-de-excelencia-em-qualidade/","1","TekSea é recertificada na ISO 9001:2015, consolidando seu padrão de excelência em qualidade. — TekSea","101","944","Indexable",""
"https://teksea.net/eventos/sc-expo-defense/","1","SC EXPO DEFENSE — TekSea","24","262","Indexable",""
"https://teksea.net/sobre-nos/","1","Sobre nós — TekSea","18","182","Indexable",""
"https://teksea.net/mercados-que-atendemos/transporte/","1","Arquivo de Transporte — TekSea","30","291","Indexable",""
"https://teksea.net/produto/thor-monitoramento-remoto/","1","THOR | Monitoramento remoto — TekSea","36","368","Indexable",""
"https://teksea.net/produto/bms-sistema-de-monitoramento-de-baterias/","1","BMS – Sistema de Monitoramento de Baterias — TekSea","51","507","Indexable",""
"https://teksea.net/investimentos-bacia-de-campos-setor-offshore/","1","Petrobras projeta futuro da Bacia de Campos com investimentos bilionários e novos projetos offshore — TekSea %","110","1020","Indexable",""
"https://teksea.net/produto/tekleakage-monitoramento-de-isolacao-em-barramentos-eletricos/","1","TEKLEAKAGE | Monitoramento de isolação em barramentos elétricos — TekSea","72","710","Indexable",""
"https://teksea.net/produto/teknav-nlc-painel-luzes-de-navegacao-e-sinalizacao/","1","Teknav NLC | Painel Luzes de Navegação e Sinalização — TekSea","61","585","Indexable",""
"https://teksea.net/subcategoria/compactos-moveis/","1","Arquivo de Compactos / Móveis — TekSea","38","377","Indexable",""
"https://teksea.net/mercados-que-atendemos/mobilidade-eletrica/","1","Arquivo de Mobilidade Elétrica — TekSea","39","363","Indexable",""
"https://teksea.net/documentacao/","1","Documentação — TekSea","21","228","Indexable",""
"https://teksea.net/subcategoria/conversor-estatico/","1","Arquivo de Conversor Estático — TekSea","38","361","Indexable",""
"https://teksea.net/auditoria-da-petrobras-e-concluida-com-sucesso-e-reforca-qualidade-da-teksea/","1","Auditoria da Petrobras é concluída com sucesso e reforça qualidade da TekSea. — TekSea","86","803","Indexable",""
