"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://teksea.net/","text/html; charset=UTF-8","200","OK","Indexable","","758","0.108","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Bombas-e-Fluxometro.svg","image/svg+xml","200","OK","Indexable","","0","0.093","",""
"https://teksea.net/wp-content/plugins/creame-whatsapp-me/public/css/joinchat-btn.min.css?ver=6.2.3","text/css; charset=utf-8","200","OK","Indexable","","0","0.084","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Mobilidade-Eletrica.svg","image/svg+xml","200","OK","Indexable","","0","0.087","",""
"https://teksea.net/wp-content/uploads/2026/02/Assinatura-Horizontal-Preta.svg","image/svg+xml","200","OK","Indexable","","0","0.095","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Acucar-Etanol.svg","image/svg+xml","200","OK","Indexable","","0","0.089","",""
"https://teksea.net/mercados-que-atendemos/hidroeletrica/","text/html; charset=UTF-8","200","OK","Indexable","","335","0.169","",""
"https://teksea.net/produto/tekpower-scr/","text/html; charset=UTF-8","200","OK","Indexable","","10","0.142","",""
"https://teksea.net/produtos/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.144","",""
"https://teksea.net/subcategoria/tiristorizados-scr/","text/html; charset=UTF-8","200","OK","Indexable","","225","0.162","",""
"https://teksea.net/eventos/flibs-fort-lauderdale-international-boat-show/","text/html; charset=UTF-8","200","OK","Indexable","","16","0.132","",""
"https://teksea.net/wp-content/uploads/2026/02/img_utilidades_e_infraestrutura.webp","image/webp","200","OK","Indexable","","0","0.083","",""
"https://www.googletagmanager.com/ns.html?id=GTM-PWBLPHD9","text/html; charset=UTF-8","200","OK","Indexable","","0","0.206","",""
"https://teksea.net/wp-content/plugins/gtranslate/js/dropdown.js?ver=3.1.1","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.035","",""
"https://teksea.net/wp-content/uploads/2026/03/kral_esta_es_leo_lubrificante-1024x1024.webp","image/webp","200","OK","Indexable","","0","0.082","",""
"https://teksea.net/wp-content/uploads/2026/03/ams1024_m_dulo_para_monitora_o_e_alarmes-1024x1024.webp","image/webp","200","OK","Indexable","","0","0.045","",""
"https://teksea.net/eventos/international-workboat-show/","text/html; charset=UTF-8","200","OK","Indexable","","16","0.073","",""
"https://teksea.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.096","",""
"https://teksea.net/mercados-que-atendemos/telecomunicacoes/","text/html; charset=UTF-8","200","OK","Indexable","","335","0.055","",""
"https://teksea.net/wp-content/cache/min/1/wp-content/themes/hello-elementor/assets/js/hello-frontend.js?ver=1782299569","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.122","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Papel-Celulose.svg","image/svg+xml","200","OK","Indexable","","0","0.033","",""
"https://teksea.net/wp-content/uploads/2026/03/gradil_tekbox_1-1024x1024.webp","image/webp","200","OK","Indexable","","0","0.150","",""
"https://teksea.net/mercados-que-atendemos/petroleo-gas/","text/html; charset=UTF-8","200","OK","Indexable","","335","0.060","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Representante.svg","image/svg+xml","200","OK","Indexable","","0","0.104","",""
"https://teksea.net/wp-content/uploads/2026/03/images-1.jpeg","image/jpeg","200","OK","Indexable","","0","0.124","",""
"https://teksea.net/wp-content/uploads/2026/02/scr3_1_02_04_25-1024x1024.webp","image/webp","200","OK","Indexable","","0","0.020","",""
"https://teksea.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.025","",""
"https://teksea.net/subcategoria/gateways-proprietarios-multiprotocolos/","text/html; charset=UTF-8","200","OK","Indexable","","225","0.111","",""
"https://teksea.net/segmento/bombas-e-fluxometros/","text/html; charset=UTF-8","200","OK","Indexable","","117","0.125","",""
"https://teksea.net/subcategoria/parafuso-triplo/","text/html; charset=UTF-8","200","OK","Indexable","","225","0.131","",""
"https://teksea.net/subcategoria/ups-nobreak/","text/html; charset=UTF-8","200","OK","Indexable","","225","0.105","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Naval-Portos.svg","image/svg+xml","200","OK","Indexable","","0","0.026","",""
"https://www.youtube.com/channel/UC9XZyzsvAMArFo3vguEdgnA","text/html; charset=utf-8","200","OK","Indexable","","110","0.124","",""
"https://teksea.net/subcategoria/radio-telecom/","text/html; charset=UTF-8","200","OK","Indexable","","225","0.053","",""
"https://intranet.teksea.net/","text/html; charset=UTF-8","200","OK","Indexable","","110","0.189","",""
"https://tekmetals.net/","text/html; charset=UTF-8","200","OK","Indexable","","220","0.380","",""
"https://teksea.net/eventos/nt-expo-negocios-nos-trilhos/","text/html; charset=UTF-8","200","OK","Indexable","","16","0.066","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Petroleo-Gas.svg","image/svg+xml","200","OK","Indexable","","0","0.035","",""
"https://teksea.net/wp-content/uploads/2026/02/svg-fale-com-a-TekSea.svg","image/svg+xml","200","OK","Indexable","","0","0.076","",""
